Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
Sunil,4,The Charminar is very old and ancient.it looks gorgeous and lovely.But the palce located is highly denced population and its too crowded and the place is not maintained well.
Shafeeq T,4,"""Great place for variety of shopping at affordable price and street food."" One of the most loved monuments in Hyderabad. Loads of people around the world do come to visit it"
Abhinav,5,"Yes,the mission interstellar and roller coaster was amazing I will again visit wonderla it was super experience to our family"
Nitin A,3,"Parking is a hassle - small parking space , uphill road to get to the parking which is usually blocked by visitors. The access road to the temple is also very narrow.The marble of the temple needs serious renovation. Cameras and phones are required to be deposited outside before entering the temple. The temple offers a good view of Hussain Sagar Lake."
Srikanth S,,"Hi,Zoo is good. There are lot more to do. Below are few1. One day feeding to animals (rs. 200)2. Many vacant places are filled with herbivores animals3. Allow common people to touch deers or non-dangered animals (rs. 500 fee/family for 10 minutes) under zoo authorities supervision4. Combo for end to end (including entry ticket till exit with food, snacks, safari, battery car pass) rs. 2000/family of 4 people)5. Mini combo. 6.Night safari in battery cars after 6 pm till 9pm (rs. 3000/family end to endRegardsSrikanthMob: 7799500742"
Biswajit M,2,"Its not worth visit as its very mundane and old school , its actually a studio being open for tourists who have nothing else to do and only have time to waste and spend money"
Atharva,4,It was a wonderful experience. All the rides were very good. The water park slides were also very good. The wave pool was amazing
Jay-Raghu-2016,5,"This was my 3rd visit to CharMinar. The only difference was it was a evening and on a Sunday.Absolutely packed by shoppers, vendors and traffic. Managed to park about 400 meters away. Great photo opportunities. Charminar was well lit and glowing. Recommend a day and evening visit after sunset."
Kaushik G,4,"During our holiday in Hyderabad, we had visited the Birla Science Center which is located in the same complex as Birla Planetarium. Entrance tickets are priced at 100 rupees per person. There are 4 levels: Level-0 has the dolls Museum and other collections, Level-1 has different exhibits showcasing different principles of physics including optical illusion, Level-2 showcases the submerged city of Dwarka and more attractions, Level-3 houses a giant skeleton of a dinosaur which was excavated in this region. It was a great experience visiting this place."
skychaserCalgary,5,"Very historical place, walked up to the top and back down again….superb views of the city from on the top"
Journeyscribe,4,A piece of history located very close to Darga road. You must walk atleast for 1hour+ to get the full experience 
doug m,5,"Fascinating old fort with extensive fortifications. Allow plenty of time for the long and very hot climb to the top where extensive views are to be had, including the nearby tombs (which are also worth a visit)."
ullacarinquiterio,3,The fort was a nice experience but the biggest disappointment was that there is no  sound and light show as it is under repairs and no-one can tell when it will start again. 
chandrasekhar g,4,Visited during kharitabad ganesh utsav time.NTR gardens near to kharitabad ganesh utsav.Entry ticket is available.Photography is allowed inside garden.Games are available.
Farook Uddin,4,"Spreads over 380 acres of land, the zoo is managed by the Forest Department of the Government of Andhra Pradesh, Don't Carry polythene bags, bedsheets, knifes. They are not allowed. Reach early to buy tickets you won't get it online and especially on weekends there is huge crowd and long queues. I would suggest better visit on weekdays if you want peace. :-) "
sramanujamk,5,A must place to visit with children. Take a guide and learn both history and acoustic engineering mastered by our ancestors before the invention of electrical sound systems and communications! The whispering wall and alert arena are must-watch.
Yashaswi,5,"Interstellar ride was an amazing experience, water rides are also excellent , maintanence of washrooms were soo good."
deepa v,4,Nice place to be with kids.there are shows in different languages hindi Telugu and english at different time slots.The evolution is showed..dinasaur era and all..must visit for kids above 6years.
Chandra J,5,Easy trek up hillside unless you have problems navigating stairs.  Great views of the city and of the whole area.  Helpful with a guide so you know what you're looking at
NITHIN KUMAR CHINTHAKINDI,5,"Golconda Fort, also known as Golkonda is a fortified citadel and an early capital city of the Qutb Shahi dynasty, located in Hyderabad, Telangana, India. Because of the vicinity of diamond mines, especially Kollur Mine, Golconda flourished as a trade centre of large diamonds, known as the Golconda Diamonds."
Vacation01012081284,5,Trips are so thrilling. Had a wonderful experience. We celebrated our friend's birthday here and the experience was so unique. 
Guide06825819179,5,Wonderla is extremely superb no words to say about Wonderla it's awesome it's a dreamy world  service is nice we taste Britani in wonderla food court it is super delicious
OctOriental,4,"Straightaway you get a feel of history of an old fort. It looks good as well, spanning a great distance from left to right. But do beware, there are several spots where the guards warn you not to venture into as some stone structures have loosened up and could collapse. Some people disregard the warnings. Well...The fort has toilets. Climbing a few steps does afford good views. But you could go all the way up. Guides are there everywhere and could try to inveigle you by authoritatively directing you away from your chosen path as if it's not the way to go. It's easy to shake them off. Just ignore. But if you have a lot of time to spend there and are interested in history, apocryphal or not, maybe a guide could be helpful. But at the entrance there's a stone with brief history inscribed on it. Do read it to get some first hand history."
Kaushik G,4,"During our holiday in Hyderabad, we had visited the Birla Science Center which is located in the same complex as Birla Planetarium. Entrance tickets are priced at 100 rupees per person. There are 4 levels: Level-0 has the dolls Museum and other collections, Level-1 has different exhibits showcasing different principles of physics including optical illusion, Level-2 showcases the submerged city of Dwarka and more attractions, Level-3 houses a giant skeleton of a dinosaur which was excavated in this region. It was a great experience visiting this place."
Lyn V,4,"We visited Charminar with a guide one afternoon and enjoyed seeing the history of the place. We walked up the spiral staircase and enjoyed the view from the top. It was pretty crowded and in particular, the bazaar /markets below. We would recommend seeing this impressive monument built in 1591 and still standing the test of time. It gave us an insight into India's history. 🕌"
73prashantha,4,Not as good as Vishweshwarraya museum in Blore. They repeat the same stuff over and over again.Worth visiting once.
Goutam Mandal,4,You can really enjoy the peace and beauty of nature. The view and calmness of the lake will not only provide you peace but cool your mind as well.
Santosh Kumar,5,Good to visit this place near Raniganj in Hyderabad as it is very clean and nicely maintained.So recommended.
Compass57717898716,5,So friendly staff they gave soo good briefing about park and also suggested delicious food and coming to rides rides are high standard very thrilling adventures...
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
Uday,5,It's a very happiest moment for coming to wonderla with my  brother's we spent alot of joyable time here ...
Camper52909614311,5,We went with a team to wonderla and staff helped us  and coordinated so well. Mainly rides are soo adventurous and thrilling. Me and my team enjoyed alot
skychaserCalgary,5,"Very historical place, walked up to the top and back down again….superb views of the city from on the top"
Raviraj Rodrigues,5,"The property is built on the lines of Disneyworld, but at a much lower scale and finish quality. However for the entry price, I would say its worth a one time visit. We got to see many sets. both live and ready for shooting. Some of them are permanent like Mughal gardens, Rajput Palaces, Wild West, Indian Village scenes etc. Some others were created for one movie and left for tourists to enjoy like the sets of Bahubali. They have some lovely gardens, bird park and butterfly park too. However, one can truly enjoy the place only by staying inside the filmcity in one of their hotels for atleast 2 nights. There is too much to see and do and the guided tour of 2.5 hours will not do justice to the place. We could spend early mornings and late evening on the sets and gardens as we stayed in the resort and were permitted to move around. "
MyNameIs Shiva,5,If You love buddah You are the one to visit this place it's an historic place an a must watch location In Hyderabad.
abrahamsuji,5,Best green space in Hyderabad. Easy access. Lots of activity for kids. Endless green space to walk around
Mayank G,3,This is one of the significant historical identity of Hyderabad but local administration needs to improvement and develop this places smooth functioning for tourist and visitor so they can get more information and awareness. 
sramanujamk,5,A must place to visit with children. Take a guide and learn both history and acoustic engineering mastered by our ancestors before the invention of electrical sound systems and communications! The whispering wall and alert arena are must-watch.
Go66994270094,5,We have enjoyed a lot and spent a great time our first time vidit but wants to come again and again...thank you wanderla for beautifully memories
PavanKalyan,5,"Twin Flip , recoil , pendulum It was really nice to joy in this place , we haven't feel any bored at anywhere of ridesIts really a fantastic day"
GoWrong,5,"The thing which impresses you the most about this place is upkeep and maintenance. The confines of all the animals are nicely fenced and quite clean. There are variety of big cats, there is a butterfly park, there are giraffes. Its quite a fun way of watching wild animals."
manikantaa,4,Very lot of people are there in this zoo park I very enjoyable in this so many of animals are there good tq
Sharat Chandra K,5,Great Historical fort in Hyderabad famous place all enjoying iam going to with my school wow nice very nice place awesome nature landscape 
NAZEER SHAIK,5,Nehru zoological park was one of the most popular visiting places in Hyderabad/Telangana. Nice place to visit
Oneil,4,This is one of the places worth visiting when in Hyderabad. It has been maintained & kept fairly clean & enforced by their vigilant security staff. The only short-coming is the rates fixed by the guides there. INR 1250 charged by them is a little excessive.Electronic audio guides need to be installed by the Government/Management at the earliest.
Vikas Singh,5,"Recognized by United Nations World Tourism Organization as World's largest heart shaped mark, this lake is the most visited site in Hyderabad. Though the lake is highly polluted and stinks at several places it is a wonderful place to spend early morning. On one side is the necklace road and other side is Tank Bund. There are several parks all around the lake- Herbal garden, Butterfly garden, Sanjeevaiah Children park, Rock garden, Rose garden, NTR garden and Lumbini Park. Boats are available from Lumbini Park to Girbraltar Rock on which the colossal monolythic Buddha Statue stands."
TravelEnthusiast,5,"The trip to Nehru Zoological Park is amzing especially when you go with your friends, family and loved ones. You can reach out to here in public transport or Ola / Uber or any other cab. Its a nice zoo park perfectly maintained and organized. It has way boards, maps and directions. You can also take bycicles and buggies. You can take any of them based on your requirement. You can enjoy the trip with so much ease. This saves lot of time, effort and energy.You will find lot of people from Andhra, Telangana and many other states too. The best way I found is to take a ticket at the entrance for buggy. You will enjoy the trip. There are good canteens also in the zoo park. You can buy popcorn 🍿, Samosa and ice creams. There are many animals that you will find interesting and curios to know the facts if you carefully read about them.Overall its a nice place to enjoy the trip."
shirin t,5,In the evening no other better place then Hussain Sagar to visit. Boating one of the best feature. Yup delicious street food another amazing stuff. Worth trying for 
ash0501,4,"Temple bulit in marble for devotees of lord Krishna , beautiful idol in black, climbing the 261 stairs gives u a view of the city,lake ad single stone statue of Buddha, unbelievable"
Sai R,5,This place is good for a whole day to spend and it will satisfy what we pay Worth it money..Friends family couple etc ..Will satisfy this placeGood one!!!
Traveler26176183558,5,The area is soo...neat..well planned...calm ....some shows are brilliant....few shows can amaze only kids....The hospitality of Sithara hotel staff is very soothing....Nice people....n nice place to visit...again and again  👌 👍🏻 😀 
explorer india,4,"Its a big zoo housing lot of Indian, Asian  and African species of animals in big enclosures including Indian Lions , African Lion , Indian tiger , White Tiger , Cheetah , Leopard, Hippo , Rhino , Elephant , Jirrafe , Crocodile etc... Its a huge trail walking , so one can hire bicycle inside or take a battery cart hop on hop off ride for extra cost. The zoo overall is not that hygenic and the animal enclsures often smell foul. So be sure to carry your hand sanitiser also. Overall the children enjoy seeing so many animals at one place but the place reaaly needs to be better maintained."
Elias M,5,"Large, Beautiful, Fun place to visit with family. One of the best places to visit stepping away from the hustle and bustle of the city and fast life in Hyderabad. Enjoy the cool, calm and beautiful time place with family."
Ravindra V,3,Nothing great except for just few snaps. Bad maintenance. There were some boats but no one to take us for a ride.
Anne R,5,This is a very impressive fort! Very well maintained and very interesting to visit with a very old history. A must if you are in Hyderabad! 
Sightseer63341929622,4,"Me and my friends have enjoyed all the rides in wonderla alot especially we have enjoyed in mission Interstellar space ride , trex twinflip and crazy cars alot we had a great experience in wonderla with my buddies."
Sounak Poddar,,"This is an iconic place in Hyderabad and for some good reasons. Boat ride into the sea for the Budhaa Statue is a ride to remember, and that too also for good and as well as for bad reason. Good reason being the ride and the view and the bad reason for the smell. Anyway one should take a call on your own if you want to visit this place or not."
Shruti tamrakar,1,"The place stinks. literally. very less to do once there, even the boat ride over the dirty waters is overpriced @50 INR and gets over within 10 min. "
Naresh_byra,5,"Majestic and it feels like first time, whenever I visit Charminar. Visited after lockdown and the charm of Charminar is alive but it is not as much crowd as it used to be.The place is getting restoration and it feel good to see our heritage is protected. Must visit place if you are into culture tours."
Vinki K,5,"Located near necklace road this is a temple of Lord Balaji. Gives an awesome views of city skyline,  tank bund and necklace road streets after dark. "
tapas1966205,2,"Charminar is a big tourist attraction in hyderabad, however surrounding area is so congested and dirty. Local authority should look into it. "
Kishore W,2,Its but on a grand  scale but ppl dobt maintain cleanliness at all  they litter everywhere...and hardly use garbage cans...the toy train was fun..but wish ppl start realizing the importance of cleanliness
Ashish S,5,This place is just amazing. It's very beautiful. The place is worth visiting and should be a must visit place during visit to Hyderabad.
LostMySelfTraveling,5,I love this park. It's a fantastic memorial of Shri Naandamuri Taraka Ramarao Ex. CM OF Andhrapradesh. It's a must vist place in Necklace Road. It's also close to Imax multiplex theatre. Children will enjoy the park alot. Very well developed and beautifully maintained park. 
Saurabh M,4,"
Exploring Telangana....... Hyderabad......at Chairminar........Best way to reach is get down at MGBS metro station and take bus or auto..... Or directly auto from anywhere.... 
An identifying feature of the city, Charminar is the most prominent landmark located right in the heart of Hyderabad. The monument was erected by Quli Qutub Shah to signify the founding of Hyderabad. As is evident from the structure, it was so named as it consists of four minarets. Although it lies right in the centre of the city with traffic and crowds milling all about it, Charminar certainly manages to hold the gaze. It is also famous for the market that sprawls around it and is called 'Laad' or 'Chudi' Bazaar. 
Since the construction of the monument in 1591, Charminar has been synonymous with the culture of Hyderabad standing tall as a reminder of the glorious days of the past era. It is a massive structure which has four minarets which many believe stand for the first four 'khalifas' (Prophets) of Islam. Towards the north of the monument, there are four gateways known as Char Kaman which have been constructed in the cardinal directions. The structure was intended to serve as a Madrasa or a Mosque. In its present form, Charminar, has been added to the 'tentative list' of UNESCO World Heritage Sites. 
The structure of Charminar is an exquisite example of Indo-Islamic architecture with Persian influences. The arches and domes of the monument define the influence of Islamic architecture, while the Persian influence is prominent from its minarets. The balconies and the outside walls, embellished with delicate stucco floral ornamentations on the ceiling, showcases the influence of the Hindu style of architecture.At the base of the Charminar is a small temple called as ""Bhagyalakshmi Temple"".... 
The Charminar was built to commemorate the decision and eradication of plague from the city. It is known as Charminar as it is supported by four minarets on four sides which were possibly meant to commemorate the first four caliphs of Islam. The old city of Hyderabad was designed keeping Charminar as the centre of the city. 
According to some legends, Quli Qutub Shahi saw his beloved wife, Baghmati, at this very site. He built Charminar as a symbol of his eternal love for his wife. There is also a legend that talks about the existence of a secret tunnel under the Charminar that connects it to the Golkonda Fort. It was created as a means of escape for the royal family in the time of emergencies. 
Charminar is famous for many things but is most known for the lip smacking dishes and great bargain shopping. There is no better place for shopping in Hyderabad than the area surrounding the Charminar. The streets are brimming with people at all times, with the shops displaying attractive and colourful bangles and jewellery. It is popular for bangles, pearls, jewellery, semi-precious stones, silverware, Kalamkari paintings, sarees, silk materials, gold embroidered fabric, lacquer bangles, ittar and the traditional Khara dupatta. This street is filled with people and haggling is part and parcel of this market..... "
siddharth Rawat,5,It's best to reach here in the morning around 9. The day seems to be short to cover the entire film city. The experience is rich. Must watch being the sound and light show. Ample amount of food joints are available. A day well spent and with rich learning experience.
Alok Kumar,5,"Charminar , the PASSPORT to central India... Hyderabad.. the city of Nizam... It's in a very crowdy place.. surrounding are clasteophobic.. but yes.. it's a myat see place.. it's an icon.. one must visit the icon .. if they are visiting Hyderabad.. "
Aparajita_03,3,"Charminar is an icon of Hyderabad. It is possible to alight up the steep stairs to get a birds eye view of the city. However, the stairs are steep and made in a circular fashion, so aged people or anyone with even slight discomfort in walking should not explore this. The view from top is amazing. The insides are adorned with carvings. The ticket counter closes at 5.30pm. We got our tickets at 5.29 pmso we were lucky that way. The area around charminar is nice for street shopping especially bangles and jewellery."
Sagar P,5,This is really HUGE zoo park . Lot of around 200 different animal species are kept over 350 acre land. Very well maintained .
avixorld,4,Whenever I went to HYD I always tried to visit this water body. This is a good refresher within a city what people can get after the busy schedule of a work day. I loved their passenger boat ride to the Buddha statue. My only issue here the ticket system one can introduce credit card vending machine and there should be some poster which can enhance the awareness of preservation of water body!
Leee,5,"Such nice place to visit once in a life , excellent experience, the last evening I visited a Charminar which is made my day excellent city 🌃 view nice place but little bit rush, I had very good experience in this place thank you so much Hyderabad "
Pioneer15314070080,5,It was very amazing and I loved the experience here and all rides are good and enjoyable and all the fun shows are good too
Kavya Sharma,5,One of the most beautiful and peaceful places of Hyderabad. The vibes of the temple cannot be expressed in words. If you are planning to visit the temple try to go early in the morning or in the evening.
Guide58742276488,5,The experience is good on the adventure side. We have missed dragon adventure because of some technical problem remaining thing are very good especially food is very good.
Journeyscribe,4,"A well known visiting spot in Hyderabad, close to Hussain sagar and neckless road. Gets quite busy during the evening. "
Michael M,5,"We were in Hyderabad for work but I was taken with colleagues to the Fort so I could see some of Hyderabad not just do work.The old (800+ years old) decorative carving showing the connection to what is now called Iran was incredible.There are several locations that have perfect acoustics - experiencing them is the only way to give it justice as words fail. For example there is a spot where if you clap you can hear an echo but walk two steps away from that spot and there is no echo. The age of the Fort is comparable to the early Norman kings of England - I had no idea that buildings like this existed in India that far back.There is a lot to see, and a lot to climb - depending on how adventurous you are you could climb to the top mosque.Alas there is a entry fee for Indians and a much higher fee for foreigners......"
Sangram42,,Cleaned but too expensive and mostly you will see deers. For lion and tiger you have to take a bus and that is also not guranteed
Sushant K,5,"Birla Science Centre is really good place, this is my first trip to Hyderabad. And I really like their archeological section."
V V S Ganesh N,5,Durgam Cheruvu Lake in Jublihills of hyderabad is a Nice Place to hangout in weekends especially for couples and lovers.having a pub at the entrace and restaurents inside were of great attraction.
Shailendra,4,"Birla mandir is one of the famous temples of Hyderabad.Made of white marble it looks very beautiful and is one of the most visited places in Hyderabad. You get a beautiful view of the Hussain sagar lake, Buddha statue and Hyderabad city.Worth a visit! "
Xavier D,4,Charminar is symbol of Hyderabad for rest of the country as well as for the world. Unfortunately during my visit it was very highly crowded.
Natarajan K,4,This garden is located close to Hussain Sagar lake. It was a good place to spend time with family and friends who visits the lake for boating for Short time. It's named after the memory of late Mr. NTR sir. Well maintained by the city corporation. For Kids some few play games available in the park and themes too.
Raman G,4,"We visited the fort as part of our holiday to Hyderabad.  It is part of your sightseeing itinerary.  Managed by Archaeology Survey of India. We did not take a guide. ( as compared, for Agra fort you surely need a guide). It is mainly a walk in the grounds and a abt 300 step walk to the highest point in the fort open for tourists. As Senior Citizens,  we did  walk to the top. It is tiring. Did it at a slow pace. The main attraction is the view from the top."
Rajani K,2,"Naturally beautiful places. Large rocks, rocky hills, lake and a beautiful garden draw the park. But poor maintenance makes the place ugly and visit is spoilt. The place is in urgent need of maintenance."
Madhavi,5,Buddha in the middle of the lake makes a stunning view. Take a boat ride in Hussain sagar to see the statue up close.
Sravan,5,I found the ticket prices at the amusement park to be quite reasonable considering the wide range of attractions and entertainment available. The value for money was evident as I spent an entire day enjoying various rides and shows. Specially mission interstellar & Wonder splash and I enjoyed a delicious buffet with wide menu in galaxy restaurant
nkameswararao,4,"Classmates with spouses , numbering 40, visited this place for a day. On the whole it is an enjoying experience. A well organised conducted tour right from reception to departure. It is worth spending a day with dear ones. Lot many things are there to see. Whole concept of this city is appreciable. One interesting spot is film Bahubali Settings.One wonders how  the film is finally made looking at the setting created/seen here. One can surely visit this place with friends /families."
SRIKAKOLAPU,,With lots of greenery this place can be visited in the morning or the evening and its nice and decently maintained
Sunshine42196798460,5,I never visited to wonderla and the experience was great.This place is heaven must visit place.Mainly the food they serve is like homade .
jainms,5,"This lake also called as secret lake in Hyderabad, located near inorbit mall and can see a very good view of this lake from inorbit mall 4th floor."
deepa v,4,Good place for couples.Its under renovation.Very old place.Theres a lake in the middle.peaceful.thers a eatery.boating was allowed before.
vinodkhedkar,4,"This is the perhaps best zoo in India. Situated in Hyderabad city, this is a must see place. We had a wonderful time especially my kid enjoyed this place. Spread across the acres of land this zoo inhibits various types of bird,reptiles and animals.This is a journey to the jungle.Staff is prompt and cleanliness in maintained. Lion safari is a highlight of this zoo. You need an entire day to see this place and enjoy it thoroughly. Definitely visiting this place again during next visit to Hyderabad."
Alok Kumar,5,Golconda Fort is in the outskirts of city... the tourist guide are must who explains the stories of glory .. they will take yiy back hundreds of years back.. in history... Good for visiting in a cloudy day.. as it's hot in summer.. Specially if sun is scrotchy .. govwirh goggles and umbrella
doug m,5,"Fascinating old fort with extensive fortifications. Allow plenty of time for the long and very hot climb to the top where extensive views are to be had, including the nearby tombs (which are also worth a visit)."
Neha Banerjee,5,We visited recently in Covid times. 1 excellent thing is it's closed for outside but open for people who are staying. So the crowd was minimal.We stayed in the Sitara hotel.We enjoyed hassle-free check-in. Then Ramoji tour and Bahubali tour. Hardly 10-15 ppl which was excellent as per the pandemic situation. Few parks were open and in lush greenery so it was just a close-to-nature trip.My toddler could run around freely and enjoyed it a lot.I will surely visit again.
Ashraf4916,3,"The lake in the city of Hyderabad, beautifully laid out and good tourist spot. Excellent place for outdoor photography."
guddu1954,4,People have been visiting Birla temple but they are just not aware that there is a museum just close to the temple.It has a wide collection of Nizam era and provides a lot of information about Nizam .
vijusjod,3,The lake is not worth to visit. It is clogged with garbage and dirty water all around. Needs proper maintenance and management to become a good tourist spot.
Farhan M,5,Nehru zoological park is very well maintained you will get each and every animal there specially the safari park is really nice 
reshma r,5,"I went there in May 2022 (during the carnival season) with my husband and nephews. Everybody loved that place. The place has so much to offer, including - learning about movie making process, adventure sports, food, music, DJ, dance performances, martial art performances, gifts for participants, beautiful movie sets, green gardens, butterfly garden, and so on. We spent over 12 hours and it was worth it. The ticket cost was approx. 1200 per person, but it's worth every penny. There is bus service inside, you can go from one point to another by bus (no additional cost). Bring your own water bottle as there is a drinking water tap at every point where you can refill your water bottle for free. I am planning to go there again with my parents in November.Only advice - go there when the weather is nice and keep in mind that you will spend at least 6-8 hours outdoors."
muralidhar r,5,Family its come to plan emoji film city it's good plase and good food also new gardens and new children park and goodentertene ment iam very happy the company  provide the ramoji film city enjoy the trip.
Veer2468,4,It is a nice and education place to visit with children. Children will enjoy in this place. I found the entry and parking charges expensive. 
Raman G,4,"It is a full day tour. About 40 km from Hyderabad.  The largest film city complex in the world. The owners of film city also organize tours for guests for the huge complex. Tours from around 9 am to 530 pm. We took a Star experience tour. Booked online in advance from their website. ( they have a toll free number as well for any enquiries) . It is a guided tour of the grounds, sets and the special shows. The advantage is that this tour   is communicating in a AC bus. Which was definitely a comfort for us. It includes a buffet  lunch- which was ok. If you need, the organizers also arrange a bus pick up and drop from various  points in Hyderabad. But depending on your pick up location. It can be a 2 hour ride in the bus to the film city. We hired a taxi for full day. ( abt Rs 3000 for the day). We reached a bit before 10 am. It is recommended to reach by 9 am as they ask to, as the tour definitely ends at 530pm. We did notice that for return to Hyderabad in the evening  there are stalls at film city for return transport , but do not know the charge? ( in case you only take a drop to film city by own transport). You can visit the film city without booking any of the tour package as well. It will be a walk in for the tickets. We noticed that these are quite crowded as a group. If you have visited any such film city  tours abroad, say in Singapore or San Francisco, these are very much of a very high standard and quality in thrills and excitement and experience as compared to Ramoji.But in India, it is surely one a kind. Tour includes, rides, walk through bird parks, gardens, visit film sets,  walk through film sets and shows. The latter include a dance and song show as well.Our tour was very well set up and organised."
Abhishek K,5,"Reaching the temple through narrow lanes may be annoying but once you reach temple, it is really amazing. Plan visit during evening as one can see complete city from Temple (Secunderabad & Hyderabad) . Great architecture of temple & arrangement are good. Tirupati Balaji Deity is worshipped here in this temple.  Nearby is Birla Planetarium & Birla Museum which are good places to visit & one must definitely go there."
rsraghavan6,5,The place is renovated and it's great to have an open air gym and a bicycle track. The flowers and the area is well maintained as of now but it would be nice if there are boards like do not pick the flowers or do not spit and keep the area clean so that people will be a little bit more careful about it.
Umesh R,5,"Long queue was there but it going in proper way, at top of temple lake view is good. Very neat and clean place."
Kaushik G,4,Charminar is one of the most popular tourist attractions in Hyderabad and we had visited the same during our sightseeing in Hyderabad. The place is very crowded with small vendors occupying the entire road outside the beautiful heritage structure. We enjoyed biscuits and tea at the nearby Nimrah Cafe and enjoyed the beauty of the Charminar right in front of us. One can go inside the Charminar up to a certain height and we saw many locals standing inside the Charminar.
anuj1401,,Kids really liked the things on Ground floor and third floor… planetarium show was also nice… sit close to the guy who is operating the projector to get the best view… food items are not allowed inside…
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
rosemaryJobin,3,"Good place to take your kids for a visit, They can learn science through experiments. Better suited for kids above 10 year. Kids will also enjoy the Dinosaurium.  It is very crowded during weekends and holidays. I have visited the science center multiple times during the last 10 years - The observation from the recent visit is - the maintanence is bad, many of the interactive instruments do not work, but the ticket price has gone up considerably. It is 80 per head now and if you combine Planetarium and 3D universe, it is 150 per head."
Manohar M,4,Great place especially the planetarium was an eye catching where one cannot resist wondering with time travel.The best place one should visit
sree143in,4,Birla mandir is Lord venkateswara temple built this temple entire with milk stone. very nice look in the evening lights.
Barbara A,4,This is in the middle of the old town with vendors all around. The charminar is impressive to look out and worth a walk to see it.
Ravindra V,4,It's been renovated recently. Best parts are children's park and open gym. The water stinks at places. Still good place to go for morning or evening walk. Ticket price is reasonable. Good thing is no extra charges for parking. During rainy season can get dirty due to mud. Next step should to take care of this issue.
LostMySelfTraveling,5,I love this park. It's a fantastic memorial of Shri Naandamuri Taraka Ramarao Ex. CM OF Andhrapradesh. It's a must vist place in Necklace Road. It's also close to Imax multiplex theatre. Children will enjoy the park alot. Very well developed and beautifully maintained park. 
ramchowdry,,Welcome event would happen for all entered people in the morning. Grand welcome is really good. Thank you
Mutukuloju Pranay,4,the mandir is built by white marble. such a cool devotional place.once after darshan you can see the entire of Hussain Sagar and central Hyderabad monuments outside of main mandir
Trending T,4,this place has got wide variety of animal life and its the best place in hyderabd from almost 30 years.
Lalz,1,"The structure is iconic and is pretty much the face of Hyderabad but, is maintained horribly. I would strongly advise people not to go to the top. The staircase is extremely suffocating and cramped. No railing and once you go in, it's impossible to get out because there're people behind you. You have to get to the top, take a breather, and go down through a similar staircase. We went there and my mom almost fainted. If you're claustrophobic, DO NOT take a chance here. The marketplace isn't that well maintained either. I was born and brought up in this city and was really excited to visit the monument. Ruined everything for me."
sree143in,4,"in This park we can see a lot animals like lion, tiger, elephant, and many more. a lot different birds also here."
PurnimaJaay,2,"The mosque is very beautiful. If you get to go in, then please do. Out of it will be local selling cheap stuffs. Don't get fooled by their pricing. Be alert and bargain well. Stay alert all time. Don't bring kids. Get ur stuff and walk away. Only buy if you want. If not just walk. It's risky but if possible go with any local. "
Kartik M,3,This place was built in 1591 when Mohammad Quil shah shifted his capital from Golconda to Hyderabad. This place have mosque on top floor and is nice. Place is littered with small vendor around makes place busy.
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
LostMySelfTraveling,5,"It's a great temple made up milk white marbles depicting gods and stories from Ramayan. They don't allow photography and cell phones inside the temple. You need to deposit the cellphones in the safety lockers, and foot wear in stand. Then you can take Darshan with barefoot. You can take Darshan of Lord Ganesha,  Hanuman and Shirdi Sai baba on the way. Then take darshan of balaji ( Lord Venkateswara). On the way you can also see the beautiful city with hussain sagar lake and tank bund. The city looks so beautiful from the temple. There is lift facility also for old and aged people. Overall its a beautiful temple. Saturdays and Sundays the crowd is more."
BRKanth,4,"If anyone want to learn science with real / live experiment, should visit this place. Especially crowded during holidays. "
Shridhar93,5,"There are about 1200 animals and 100 different species in Nehru Zoological Park . Various Animals, birds and reptiles are present in this zoo. Species like tigers, Lions, Chimpanzees, Panthers, white peacocks and many more Must Visit"
importedinteriors,5,"Beautiful, well maintained, and a temple that everyone should visit when they are in Hyderabad. Has a wonderful view of tank Bund."
Jo-Ann,3,"From afar the view was cool but when you approach the lake, there’s rubbish everywhere. Sigh. This place is not a village. There are fine restaurants around. Wish it is cleaned and maintained regularly. "
Global-Bhatakanti,3,"3 Nov 2022: NTR Garden ticket counter. Ticket is INR 20 for adults and free for children below 5 yr. NTR Garden is normally crowded in the evening and almost empty in the morning. Toy train is not working. Min time to spend is 30 min if you don't do any activities. There is paid parking outside. Some things to do are haunted house, typical kids play areas, 3D underwear world. Activity tickets are INR 50 each and combo is 90."
NG,1,Very sad state of garden - totally run down - absolutely avoidable - lovely trees n horticulture but on the whole sad.
Mayank G,4,NTR Garden is good place to Visit if you are in Hyderabad with your family. Good environment and ambiance.
Debasis,4,This is a jewel to Hyderabad. Always beautiful after sunset. We enjoyed our time on the lake side. Must see.
CuriousTraveller2014,3,"White marble temple, overlooking Hussain Sagar Lake, Hyderabad city. Approach roads very narrow. Seems Birla science museum is near by, which opens at 11am, wanted to visit it but went too early to temple.Can visit if you get time."
